"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 15 17:21:50 CEST 2024","Sat Jun 15 17:21:54 CEST 2024","4145","chromium","tests/usePageObjects.spec.ts","","","","Navigate to form page @smoke @block",""
"passed","Sat Jun 15 17:21:54 CEST 2024","Sat Jun 15 17:21:57 CEST 2024","3206","chromium","tests/usePageObjects.spec.ts","","","","Parametrized methods",""
